first_name,last_name,hire_date
Eran,Cusworth,11/14/1986
Bojan,Zallocco,10/14/1986
Nevio,Demizu,5/18/1986
Ziva,Vecchi,7/3/1986
Mohit,Speek,1/14/1986
Qunsheng,Speer,2/13/1986
Dines,Encarnacion,8/2/1986
Harngdar,Swick,5/28/1986
Freyja,Uhrig,12/20/1986
Zhenhua,Milicic,8/4/1986
Bowen,Schmezko,5/30/1986
Reuven,Munke,4/13/1986
Stabislas,Domenig,8/4/1986
Juichirou,Jumpertz,9/18/1986
Juichirou,Ghelli,12/13/1986
Shmuel,Georg,11/30/1986
Xiadong,Bach,4/29/1986
Guangming,Butterworth,10/1/1986
Irene,Setia,8/10/1986
Shuichi,Swiler,6/8/1986
Terresa,Perez,9/12/1986
Lidong,Borovoy,5/30/1986
Teiji,Eickenmeyer,9/3/1986
Baocai,Kroha,10/27/1986
Morrie,Sridhar,3/4/1986
Taegyun,Speckmann,12/28/1986
Stabislas,McFarlin,7/19/1986
Apostol,Ghelli,4/7/1986
Khun,Kuszyk,6/30/1986
Conor,Flanders,2/21/1986
Radhakrishnan,Albarhamtoshy,5/7/1986
Shigeu,Denna,4/10/1986
Uta,Frolund,1/22/1986
Zhiwei,Kaminger,7/4/1986
Sven,Krider,9/25/1986
Yannik,Vakili,11/9/1986
Khatoun,Zeilberger,1/31/1986
Fox,Erva,5/6/1986
Huai,Birrer,3/28/1986
Kristine,Litzler,1/9/1986
Eirik,Farrel,9/19/1986
Wayne,Levergood,5/5/1986
Chrisa,Cullers,1/28/1986
Manton,Perko,6/18/1986
Etsuo,Ratzlaff,1/15/1986
Odysseas,Erie,2/6/1986
Ingmar,Lambe,10/21/1986
Marin,Ashish,7/11/1986
JiYoung,Delaune,9/4/1986
Sandeepan,Sidou,1/19/1986
Neven,Leivant,9/2/1986
Sarita,Hofting,7/3/1986
Kolar,Karunanithi,12/6/1986
Shmuel,Impagliazzo,2/19/1986
Bedrich,Delaune,4/6/1986
Susanne,Asser,8/5/1986
Syozo,Sommen,3/25/1986
Ashish,Ventosa,8/14/1986
Ingmar,Pollacia,8/21/1986
Shrikanth,Ramalingam,3/10/1986
Rimli,Mahnke,4/17/1986
Adib,Chepyzhov,11/10/1986
Florina,Kavvadias,12/14/1986
Kiyomitsu,Bottner,11/7/1986
Berni,Thorelli,8/5/1986
Fumiya,Vilarrasa,6/27/1986
Remzi,Speckmann,11/5/1986
Georgi,Middleton,11/24/1986
Zejun,Anandan,3/19/1986
Kamakshi,Lipner,8/17/1986
Hyuncheol,Chaudhuri,7/9/1986
Chandrasekaran,Kaiser,12/30/1986
Bedir,Bashian,10/5/1986
Takahira,Spieker,6/5/1986
Krassimir,Sgarro,8/4/1986
Maya,Ghemri,6/12/1986
Eishiro,Dichev,4/29/1986
Hausi,Kambil,7/3/1986
Feipei,Clouatre,3/5/1986
Susumu,Kuszyk,12/12/1986
Stein,Kulisch,6/11/1986
Gen,Lundstrom,5/29/1986
Reinhard,Serre,7/14/1986
Alain,Fujisaki,4/7/1986
Alain,Dratva,4/23/1986
Claudi,Spieker,4/23/1986
Dulce,Ebeling,3/18/1986
Jayson,Perri,3/23/1986
Steen,Hofman,10/8/1986
Mads,Legleitner,7/11/1986
Gio,Schauser,10/23/1986
Takanari,Beznosov,6/10/1986
Gita,Dichev,11/1/1986
Barna,Mamelak,1/17/1986
Junsik,Sinitsyn,11/21/1986
Snehasis,Anily,3/3/1986
Behnaam,Schwartzbauer,10/17/1986
Shem,Petersohn,7/8/1986
Mokhtar,Chiodo,4/6/1986
Serif,Streit,3/17/1986
Teiji,Marrakchi,8/26/1986
Nathan,Denny,9/16/1986
Hauke,Giaccio,12/12/1986
Aral,Baik,3/29/1986
Seongbin,Poupard,9/29/1986
Tze,Chinin,9/22/1986
Joydip,Terkki,3/1/1986
Jeanne,Zlotek,9/3/1986
Mikhail,Karner,5/15/1986
